cliente_id,nome,segmento,porte,estado
C001,Empresa 001,Varejo,Pequena,CE
C002,Empresa 002,Restaurantes,Média,RN
C003,Empresa 003,Saúde,Grande,PE
C004,Empresa 004,Indústria,Pequena,PB
C005,Empresa 005,Serviços,Média,CE
C006,Empresa 006,Varejo,Grande,RN
C007,Empresa 007,Restaurantes,Pequena,PE
C008,Empresa 008,Saúde,Média,PB
C009,Empresa 009,Indústria,Grande,CE
C010,Empresa 010,Serviços,Pequena,RN
C011,Empresa 011,Varejo,Média,PE
C012,Empresa 012,Restaurantes,Grande,PB
C013,Empresa 013,Saúde,Pequena,CE
C014,Empresa 014,Indústria,Média,RN
C015,Empresa 015,Serviços,Grande,PE
C016,Empresa 016,Varejo,Pequena,PB
C017,Empresa 017,Restaurantes,Média,CE
C018,Empresa 018,Saúde,Grande,RN
C019,Empresa 019,Indústria,Pequena,PE
C020,Empresa 020,Serviços,Média,PB
C021,Empresa 021,Varejo,Grande,CE
C022,Empresa 022,Restaurantes,Pequena,RN
C023,Empresa 023,Saúde,Média,PE
C024,Empresa 024,Indústria,Grande,PB
C025,Empresa 025,Serviços,Pequena,CE
C026,Empresa 026,Varejo,Média,RN
C027,Empresa 027,Restaurantes,Grande,PE
C028,Empresa 028,Saúde,Pequena,PB
C029,Empresa 029,Indústria,Média,CE
C030,Empresa 030,Serviços,Grande,RN
C031,Empresa 031,Varejo,Pequena,PE
C032,Empresa 032,Restaurantes,Média,PB
C033,Empresa 033,Saúde,Grande,CE
C034,Empresa 034,Indústria,Pequena,RN
C035,Empresa 035,Serviços,Média,PE
C036,Empresa 036,Varejo,Grande,PB
C037,Empresa 037,Restaurantes,Pequena,CE
C038,Empresa 038,Saúde,Média,RN
C039,Empresa 039,Indústria,Grande,PE
C040,Empresa 040,Serviços,Pequena,PB
C041,Empresa 041,Varejo,Média,CE
C042,Empresa 042,Restaurantes,Grande,RN
C043,Empresa 043,Saúde,Pequena,PE
C044,Empresa 044,Indústria,Média,PB
C045,Empresa 045,Serviços,Grande,CE
C046,Empresa 046,Varejo,Pequena,RN
C047,Empresa 047,Restaurantes,Média,PE
C048,Empresa 048,Saúde,Grande,PB
C049,Empresa 049,Indústria,Pequena,CE
C050,Empresa 050,Serviços,Média,RN
C051,Empresa 051,Varejo,Grande,PE
C052,Empresa 052,Restaurantes,Pequena,PB
C053,Empresa 053,Saúde,Média,CE
C054,Empresa 054,Indústria,Grande,RN
C055,Empresa 055,Serviços,Pequena,PE
C056,Empresa 056,Varejo,Média,PB
C057,Empresa 057,Restaurantes,Grande,CE
C058,Empresa 058,Saúde,Pequena,RN
C059,Empresa 059,Indústria,Média,PE
C060,Empresa 060,Serviços,Grande,PB
C061,Empresa 061,Varejo,Pequena,CE
C062,Empresa 062,Restaurantes,Média,RN
C063,Empresa 063,Saúde,Grande,PE
C064,Empresa 064,Indústria,Pequena,PB
C065,Empresa 065,Serviços,Média,CE
C066,Empresa 066,Varejo,Grande,RN
C067,Empresa 067,Restaurantes,Pequena,PE
C068,Empresa 068,Saúde,Média,PB
C069,Empresa 069,Indústria,Grande,CE
C070,Empresa 070,Serviços,Pequena,RN
C071,Empresa 071,Varejo,Média,PE
C072,Empresa 072,Restaurantes,Grande,PB
C073,Empresa 073,Saúde,Pequena,CE
C074,Empresa 074,Indústria,Média,RN
C075,Empresa 075,Serviços,Grande,PE
C076,Empresa 076,Varejo,Pequena,PB
C077,Empresa 077,Restaurantes,Média,CE
C078,Empresa 078,Saúde,Grande,RN
C079,Empresa 079,Indústria,Pequena,PE
C080,Empresa 080,Serviços,Média,PB
