pedido_id,cliente_id,produto_id,data,quantidade,valor_total
PED00001,C001,P013,2025-09-19,1,299.0
PED00002,C001,P011,2026-07-05,1,890.0
PED00003,C002,P004,2026-01-15,4,1156.0
PED00004,C002,P012,2026-02-23,3,3750.0
PED00005,C002,P013,2025-06-01,1,299.0
PED00006,C002,P009,2025-10-14,4,1596.0
PED00007,C003,P015,2026-07-20,4,796.0
PED00008,C003,P007,2025-07-18,4,2396.0
PED00009,C003,P008,2025-10-20,2,298.0
PED00010,C004,P007,2025-06-17,2,1198.0
PED00011,C004,P006,2025-08-11,3,717.0
PED00012,C005,P005,2025-08-27,4,1716.0
PED00013,C005,P015,2025-05-12,2,398.0
PED00014,C005,P002,2026-03-16,2,698.0
PED00015,C005,P001,2026-02-23,4,1996.0
PED00016,C006,P012,2026-01-03,3,3750.0
PED00017,C006,P004,2026-05-03,2,578.0
PED00018,C006,P009,2025-10-02,3,1197.0
PED00019,C007,P004,2025-07-29,2,578.0
PED00020,C007,P013,2026-02-15,4,1196.0
PED00021,C007,P001,2026-04-03,4,1996.0
PED00022,C007,P012,2025-09-26,1,1250.0
PED00023,C008,P008,2025-10-04,4,596.0
PED00024,C008,P001,2025-09-15,2,998.0
PED00025,C008,P015,2025-08-10,2,398.0
PED00026,C009,P005,2025-10-03,2,858.0
PED00027,C009,P006,2026-01-05,3,717.0
PED00028,C009,P004,2025-11-21,4,1156.0
PED00029,C009,P009,2025-08-17,1,399.0
PED00030,C010,P006,2026-08-05,3,717.0
PED00031,C010,P009,2026-01-22,2,798.0
PED00032,C010,P005,2026-05-08,4,1716.0
PED00033,C011,P004,2026-07-23,4,1156.0
PED00034,C011,P013,2026-04-06,4,1196.0
PED00035,C011,P009,2026-04-01,4,1596.0
PED00036,C012,P003,2026-02-05,2,358.0
PED00037,C012,P004,2025-07-25,2,578.0
PED00038,C012,P001,2026-05-31,2,998.0
PED00039,C013,P001,2026-06-03,3,1497.0
PED00040,C013,P008,2025-12-22,4,596.0
PED00041,C013,P015,2026-06-07,4,796.0
PED00042,C014,P007,2025-10-21,3,1797.0
PED00043,C014,P014,2026-02-27,3,1377.0
PED00044,C014,P005,2026-07-08,4,1716.0
PED00045,C014,P009,2026-06-24,2,798.0
PED00046,C015,P006,2025-05-11,4,956.0
